Stock Symbol,Year,ROE,ROA,EBITDA Margin,Net Profit Margin,Gross Profit Margin,Operating Profit Margin,WACC,Cost of Equity,Operating Cash Flow (OCF),Free Cash Flow (FCF),Unlevered Free Cash Flow (UFCF),Current Ratio,Quick Ratio,Cash Ratio,Asset Turnover,Inventory Turnover,Receivables Turnover,Days Inventory Outstanding (DIO),Days Sales Outstanding (DSO),Working Capital Turnover,EPS,PE Ratio,PBV Ratio,Owner's Earnings,Intrinsic Value Per Share,DCF Total Value,DCF Terminal Value,Debt to Equity,Debt to Assets,Interest Coverage,Altman Z-Score
INTC,2016,15.577,9.1029,38.3838,17.3708,60.9409,22.1143,0.0787,0.1,21808000000.0,12183000000.0,7872070000.0,1.749,1.4755,0.8422,0.524,4.1772,12.6625,87.3791,28.8253,3.9055,2.18,0.0,0.0,7813000000.0,3.19,15087504271.5645,-7214788184.4933,0.3818,0.2231,0.0,2.032
INTC,2017,13.9107,7.7899,46.4094,15.2977,62.2504,28.7599,0.0773,0.1,22110000000.0,10332000000.0,7026500000.0,1.6934,1.2925,0.8037,0.5092,3.3928,11.1933,107.5804,32.6087,5.1959,2.04,0.0,0.0,2368000000.0,3.15,14803741461.9357,-7441474753.6496,0.3885,0.2176,0.0,1.8685
INTC,2018,28.2352,16.4524,45.6315,29.7157,61.7336,32.9099,0.0775,0.1,29432000000.0,14251000000.0,12744640000.0,1.7314,1.2952,0.7007,0.5537,3.7379,10.5397,97.6484,34.6309,5.8258,4.57,10.2691,2.9022,15378000000.0,3.22,14844979675.0601,-7408505612.4485,0.3535,0.206,0.0,2.0544
INTC,2019,27.1573,15.4171,46.2086,29.2476,58.5562,30.6191,0.0764,0.1,33145000000.0,16932000000.0,10872650000.0,1.4002,1.0083,0.5882,0.5271,3.4109,9.3961,107.0096,38.8458,8.0597,4.77,12.5472,3.4109,14513000000.0,3.31,14615198945.2858,-7592326139.3268,0.3742,0.2124,0.0,1.9424
INTC,2020,25.7891,13.6514,46.3804,26.8394,56.0083,30.4083,0.0732,0.1,35384000000.0,20931000000.0,14312620000.0,1.9087,1.5683,0.9653,0.5086,4.0649,11.4814,89.7929,31.7905,3.4615,4.98,10.004,2.5814,16506000000.0,3.31,13903324520.1441,-8163706525.3453,0.4492,0.2378,0.0,1.874
INTC,2021,20.828,11.7977,42.8655,25.1417,55.4452,24.6204,0.075,0.1,29456000000.0,9127000000.0,12241240000.0,2.1323,1.7399,1.0652,0.4692,3.2674,8.3561,111.7112,43.6805,2.5413,4.89,10.5317,2.1914,16739000000.0,3.53,14311951382.755,-7835364401.8785,0.3994,0.2262,0.0,2.0422
INTC,2022,7.9016,4.4008,33.779,12.7097,42.6079,3.7016,0.0734,0.1,15433000000.0,-9617000000.0,-10510140000.0,1.5676,1.1564,0.8813,0.3463,2.7365,15.2562,133.3801,23.9247,3.4546,1.95,13.5538,1.0705,-4340000000.0,3.4,13949807858.5982,-8126305321.9853,0.4146,0.2309,0.0,1.7799
INTC,2023,1.5996,0.8817,20.731,3.1146,40.0365,0.1715,0.0727,0.1,11471000000.0,-14279000000.0,-15505530000.0,1.5424,1.1458,0.8924,0.2831,2.9224,15.94,124.8994,22.8983,3.5639,0.4,125.625,1.994,-13890000000.0,3.29,13785899869.6547,-8258247374.8722,0.4667,0.2572,0.0,1.6601
INTC,2024,-18.8939,-9.5458,2.2655,-35.3214,32.6642,-21.9921,0.0709,0.1,8288000000.0,-15656000000.0,-22893620000.0,1.3269,0.9849,0.6186,0.2703,2.9313,15.2677,124.5181,23.9067,4.5549,-4.38,0.0,0.8645,-32424000000.0,3.12,13348313286.5319,-8611319130.0306,0.5038,0.2545,0.0,1.3421
INTC,2025,-0.2336,-0.1263,27.1583,-0.5052,34.7662,-0.0435,0.0764,0.1,9697000000.0,-4949000000.0,-1211170000.0,2.017,1.6491,1.185,0.25,2.9676,13.7674,122.9935,26.5119,1.6458,-0.0589,0.0,1.5679,-1460000000.0,3.01,14615198945.2858,-7592326139.3268,0.4076,0.2203,0.0,1.5626
